video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=t7YnQgPEo7w&pp=ygUHZnVqaXNhbg%3D%3D,/@JanandAnn,Jan and Ann,"THIS is what MT. FUJI, JAPAN is like! 🇯🇵 It’s so BEAUTIFUL here!",192K,1 year,Today we explore MOUNT FUJI and the fairytale-like town they call Fujikawaguchiko! This place was UNREAL! Rent your van ...,2024-01-26 21:44:59.975685
/watch?v=YZi9etGQhPo&pp=ygUHZnVqaXNhbg%3D%3D,/channel/UCKt5j-sogICwvkNsFAGze-g,Guillaume Ferran,Guillaume Ferran - Fujisan (Original Soundtrack),13K,1 year,↓TRACKLIST↓ 1. Adriensan : 00:00 2. Fujisan : 01:03 3. Furansu : 03:22 4. Minori in Paris : 05:31 5. Tanuki : 07:04 6. Kitsune ...,2024-01-26 21:44:59.977888
/watch?v=GMP5ltOesgs&pp=ygUHZnVqaXNhbg%3D%3D,/@ChaseforAdventure,Chase for Adventure,Climbing Mt Fuji PART TWO: The Altitude Sickness Begins & Fujisan Hotel!,9.4K,5 years,"Climbing Mount Fuji, as we said in the last video, is far from easy. In this video Daniel gets super bad altitude sickness climbing up ...",2024-01-26 21:44:59.979445
/watch?v=vLzGFwTqiT0&pp=ygUHZnVqaXNhbg%3D%3D,/@SeniorWanderer,Senior Wanderer,"Trip to Japan 2023, EP02 - Fujisan Herb Garden",1.2K,8 months,Walked from Lake Kawaguchi to Fujisan Herb Garden.,2024-01-26 21:44:59.981085
/watch?v=GeD_Uf4Lvt0&pp=ygUHZnVqaXNhbg%3D%3D,/@SacredSiteJP,開運パワースポットJP,【参拝動画】富士山本宮浅間大社 (静岡県富士宮市)  Fujisan Hongū Sengen Taisha (Shizuoka Fujinomiya-city)【パワースポット】【4K】,22,3 days,パワースポット #参拝 #開運 チャンネル主がご縁を持ち、エネルギーを感じられたパワースポットを紹介しています。 富士山本宮 ...,2024-01-26 21:44:59.982308
/watch?v=8APQk-7swGs&pp=ygUHZnVqaXNhbg%3D%3D,/@karnsupasri,karn,fujisan,10,7 hours,"ohayo fujisan places, *0221 = 02.21 (time of each places) 0221 -fujisan yumeno ohashi 0252 -obuchi sasaba 0325 -mt. fuji world ...",2024-01-26 21:44:59.983773
/watch?v=5tzJMfSS854&pp=ygUHZnVqaXNhbg%3D%3D,/@Planetyze,Planetyze - Japan Best Spots Travel Guide,"Fujisan World Heritage Center,Yamanashi | Japan Travel Guide",1.8K,6 years,"Description ———————————————————————— A facility where you can learn about the nature, culture and ...",2024-01-26 21:44:59.987052
/watch?v=6qSZtjgle8U&pp=ygUHZnVqaXNhbg%3D%3D,/@PlacesWeGoExploring,Places WeGo Exploring,"🇯🇵Japan🇯🇵 Hotels We Stayed - Mount Fuji Hut Stay - Fujisan Hotel - Hut Museum, Japan!",339,4 years,It is also called Hut Museum. An expensive place but a must resting place where the couple of hours rest is needed before the ...,2024-01-26 21:44:59.988230
/shorts/6fRfL__vM10,/@hikENShootJapan,hikENShoot,Goods and Bads of Hiking Mt.Fuji in the off-season #japan,30K,8 months,fuji #mountfuji #fujisan #富士山 #japan #hikinginjapan #hiking #hikingadventures #hiker #travel #traveling #traveljapan Goods ...,2024-01-26 21:44:59.989478
/watch?v=v0Qge6DwAHw&pp=ygUHZnVqaXNhbg%3D%3D,/@bakestreetcom,Bake-Street,Pan Fujisan - Fujisan Bread,38K,5 years,"Aprende a elaborar el tradicional Pan Fujisan. Este pan podemos encontrarlo bajo el nombre de Fujisan Bread (富士山面包), ...",2024-01-26 21:44:59.991706
